"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"558","Fabaceae","Inga","cocleensis",25.7,1.3,2010.01,40.5,81.8,"VG-BCI-3","Inga_cocleensis","2010",0.579769230769231,468.509790147619,234.25489507381
"559","Moraceae","Perebea","xanthochyma",19.1,1.3,2010.01,44.5,83,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,181.09483568283,90.547417841415
"560","Apocynaceae","Aspidosperma","spruceanum",22.7,1.3,2010.01,45.6,83.7,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,436.991187334091,218.495593667046
"561","Melastomataceae","Miconia","poeppigii",31.4,1.3,2010.01,41.8,84.7,"VG-BCI-3","Miconia_poeppigii","2010",0.622769230769231,845.337964588143,422.668982294072
"562","Moraceae","Brosimum","guianense",11.5,1.3,2010.01,42.8,92.5,"VG-BCI-3","Brosimum_guianense","2010",0.670818181818182,64.9287032574175,32.4643516287087
"563","Anacardiaceae","Tapirira","guianensis",32,1.3,2010.01,44.8,99.8,"VG-BCI-3","Tapirira_guianensis","2010",0.438777777777778,625.301404753305,312.650702376653
"564","Arecaceae","Oenocarpus","mapora",11.5,1.3,2010.01,48.5,98.4,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,65.9625998061025,32.9812999030512
"565","Apocynaceae","Aspidosperma","spruceanum",16.4,1.3,2010.01,47.8,92.8,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,185.602477899595,92.8012389497975
"567","Moraceae","Perebea","xanthochyma",17.6,1.3,2010.01,53.7,99.2,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,145.93841388465,72.9692069423249
"568","Burseraceae","Trattinnickia","aspera",56.1,1.3,2010.01,56.5,91.6,"VG-BCI-3","Trattinnickia_aspera","2010",0.458894736842105,2681.66456125952,1340.83228062976
"570","Salicaceae","Laetia","procera",15.1,1.3,2010.01,52,86.9,"VG-BCI-3","Laetia_procera","2010",0.640066666666667,127.652241422195,63.8261207110973
"571","Salicaceae","Laetia","procera",20,1.3,2010.01,51.6,85.2,"VG-BCI-3","Laetia_procera","2010",0.640066666666667,268.241194755153,134.120597377576
